Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Incredible (feat. Labrinth),Sia,3SOaoZ1AfhMjEMCJrdGKEw,Incredible (feat. Labrinth),spotify:track:3SOaoZ1AfhMjEMCJrdGKEw,0.484,0.754,72,0.0544,0.459,0.198,0.0232,0,0.557
Way Out Here,Riley Green,1osfLqL6L2iQsirRf83ded,Worst Way,spotify:track:1osfLqL6L2iQsirRf83ded,0.0899,0.366,"",0.0324,0.349,0.132,9.94E-4,1,0.492
Bryson Tiller,Bryson Tiller,7BOsIXFUa09SzoocKq9SoT,Assume The Position,spotify:track:7BOsIXFUa09SzoocKq9SoT,0.00991,0.784,61,0.0603,0.772,0.317,2.32E-5,1,0.861
Mood Swings,Marcus King,0boUJBsxCjOMihfXlxxuQ9,Inglewood Motel (Halestorm),spotify:track:0boUJBsxCjOMihfXlxxuQ9,0.463,0.78,44,0.174,0.493,0.0867,2.22E-6,1,0.44
USB,Fred again..,3eHycF4kskcHoDd47DpDZh,Jungle,spotify:track:3eHycF4kskcHoDd47DpDZh,0.00984,0.665,51,0.0391,0.397,0.172,0.394,0,0.727
Illusion,Dua Lipa,6qszJ4PtfQSe9Fs3A0zIIi,Illusion - Instrumental,spotify:track:6qszJ4PtfQSe9Fs3A0zIIi,0.00241,0.658,"",0.0319,0.506,0.082,0.783,1,0.729
COWBOY CARTER,Beyoncé,3ly60iOVqcsdtlMhQ8FcE1,AMEN,spotify:track:3ly60iOVqcsdtlMhQ8FcE1,0.0687,0.333,77,0.0349,0.0913,0.329,4.17E-5,1,0.452
Don't Forget Me,Maggie Rogers,2VWU98gL9ePoBWzjttq3iC,So Sick Of Dreaming,spotify:track:2VWU98gL9ePoBWzjttq3iC,0.0939,0.68,"",0.034,0.738,0.192,5.19E-5,1,0.733
Pandora,Wisp,2VtXANhW6YpAzsMDQCFkAv,Your face,spotify:track:2VtXANhW6YpAzsMDQCFkAv,0.00648,0.5,45,0.0282,0.194,0.158,0.882,1,0.789
Where The Joy Is,We Are Messengers,5NcXfjm9jgfDSXb6H5Dd82,Where The Joy Is,spotify:track:5NcXfjm9jgfDSXb6H5Dd82,2.9E-4,0.623,31,0.0387,0.447,0.176,1.26E-5,1,0.794
Might Delete Later,J. Cole,7JRwdwgeTrYkJvwmecrPSW,3001,spotify:track:7JRwdwgeTrYkJvwmecrPSW,0.122,0.565,75,0.444,0.241,0.0865,0.0,1,0.766
Might Delete Later,J. Cole,6XkIQqAsFjk1XfD4L7G6qR,Fever,spotify:track:6XkIQqAsFjk1XfD4L7G6qR,0.145,0.805,76,0.173,0.167,0.377,1.48E-4,1,0.548
Through the Smoke,Nate Smith,0LlZLe2LpXo62SNndPxCkn,Hollywood,spotify:track:0LlZLe2LpXo62SNndPxCkn,0.0446,0.414,51,0.0331,0.376,0.0757,0.0,1,0.718
Papercuts,Linkin Park,5gNwBUjB2oHS2uvZeAIt4u,Faint,spotify:track:5gNwBUjB2oHS2uvZeAIt4u,0.0899,0.532,"",0.154,0.503,0.0767,0.0,1,0.973
Found Heaven,Conan Gray,19qvgrwvKLFn4KjWxAs9OQ,Eye Of The Night,spotify:track:19qvgrwvKLFn4KjWxAs9OQ,0.0477,0.71,65,0.0404,0.635,0.161,0.0,0,0.902
Bryson Tiller,Bryson Tiller,6TJcnosIlDjN5RBdkCphXJ,Rich Boy,spotify:track:6TJcnosIlDjN5RBdkCphXJ,0.00142,0.625,64,0.0575,0.0916,0.128,0.0,1,0.781
Found Heaven,Conan Gray,61cy3MyZTZkYbKPAoRfzqP,Miss You,spotify:track:61cy3MyZTZkYbKPAoRfzqP,0.024,0.714,65,0.03,0.272,0.167,8.49E-4,1,0.732
Strong,Tyler Hubbard,5KtUilYzUZOvhyrLTlLoXT,Back Then Right Now,spotify:track:5KtUilYzUZOvhyrLTlLoXT,0.0164,0.659,"",0.0541,0.761,0.134,0.0,1,0.865
Silence Is Loud,Nia Archives,5UMyFKs2A333NMYD6sdIc0,Tell Me What It’s Like?,spotify:track:5UMyFKs2A333NMYD6sdIc0,0.00441,0.581,"",0.0551,0.487,0.175,0.00602,0,0.911
"NASHVILLE, TENNESSEE",ERNEST,6ETioMN7Sv9mwzzOE3bW8v,Ain't Right Ain't Wrong,spotify:track:6ETioMN7Sv9mwzzOE3bW8v,0.599,0.499,"",0.0252,0.416,0.0911,3.63E-6,0,0.491
Gamma,Gesaffelstein,7jWVvZHy0xxHiWfcGwecVC,The Urge,spotify:track:7jWVvZHy0xxHiWfcGwecVC,0.126,0.424,48,0.102,0.754,0.0864,0.024,0,0.894
Don't Forget Me,Maggie Rogers,2SSdjwuUQlkO0s6Kb4II8x,It Was Coming All Along,spotify:track:2SSdjwuUQlkO0s6Kb4II8x,0.0928,0.588,"",0.177,0.667,0.195,0.0,1,0.72
The 502s,The 502s,1BkZ7oe3wd8ibYSykJxsSW,Maybe There's A Reason,spotify:track:1BkZ7oe3wd8ibYSykJxsSW,0.0246,0.641,"",0.0406,0.781,0.193,4.84E-6,1,0.671
Sweet Boy,Malcolm Todd,5YBxGJYKJ7Se2Uq7S0pVOL,Art House,spotify:track:5YBxGJYKJ7Se2Uq7S0pVOL,0.563,0.632,45,0.0274,0.333,0.0973,0.0,0,0.406
Femme Fatale (feat. Coi Leray & Kaliii),G-Eazy,3kFRPjcHAlQrfHytP6kR61,Femme Fatale (feat. Coi Leray & Kaliii),spotify:track:3kFRPjcHAlQrfHytP6kR61,0.0191,0.792,65,0.278,0.731,0.128,0.0,1,0.482
Ohio Players,The Black Keys,0At3olUnhR29VyL0eXBkQP,You'll Pay,spotify:track:0At3olUnhR29VyL0eXBkQP,0.0808,0.562,57,0.111,0.736,0.373,0.0,0,0.947
Only God Was Above Us,Vampire Weekend,0NiaHPlgDp7081zSqXuULS,Prep-School Gangsters,spotify:track:0NiaHPlgDp7081zSqXuULS,0.34,0.711,67,0.0262,0.279,0.434,0.00774,1,0.662
Ohio Players,The Black Keys,2meH4dMuvGlooo2tpiPjJp,Beautiful People (Stay High),spotify:track:2meH4dMuvGlooo2tpiPjJp,0.194,0.589,60,0.0472,0.611,0.257,0.00215,1,0.852
Older,Lizzy McAlpine,0UmNhsqUlGWs9h44hIQNAm,Like It Tends To Do,spotify:track:0UmNhsqUlGWs9h44hIQNAm,0.95,0.343,63,0.039,0.072,0.111,2.51E-5,1,0.0496
"NASHVILLE, TENNESSEE",ERNEST,3v3ZK9LevV1yce8DBVPF0L,Twinkle Twinkle (Live at Fenway Park) [feat. Ryman Saint],spotify:track:3v3ZK9LevV1yce8DBVPF0L,0.977,0.449,"",0.427,0.294,0.812,0.0187,1,0.443
I'M DOING IT AGAIN BABY!,girl in red,43bVi48NVZVDClxsXksTtC,Ugly Side,spotify:track:43bVi48NVZVDClxsXksTtC,0.0996,0.622,"",0.0472,0.688,0.115,0.00565,1,0.593
Found Heaven,Conan Gray,1jGC00ZVUuVXwNdJjV17kJ,Boys & Girls,spotify:track:1jGC00ZVUuVXwNdJjV17kJ,0.00161,0.671,65,0.0341,0.811,0.118,4.29E-4,1,0.792
Pigeons & Planes presents: See You Next Year 2,See You Next Year,5AuW0ItRzKW8nelJQQmWnF,My Lili,spotify:track:5AuW0ItRzKW8nelJQQmWnF,0.861,0.596,28,0.0478,0.358,0.498,3.66E-6,1,0.231
A LA SALA,Khruangbin,0juMDnoo3u3uDJ32wjK2BF,Hold Me Up (Thank You),spotify:track:0juMDnoo3u3uDJ32wjK2BF,0.0952,0.638,65,0.0365,0.671,0.125,0.805,1,0.569
11:11 (Deluxe),Chris Brown,3aXS7u5D69h8lxdYSS1T4h,Shooter,spotify:track:3aXS7u5D69h8lxdYSS1T4h,0.135,0.533,21,0.0708,0.329,0.108,2.15E-5,0,0.771
11:11 (Deluxe),Chris Brown,4kqauO6lD6pWslL3sI7SNO,Need A Friend,spotify:track:4kqauO6lD6pWslL3sI7SNO,0.109,0.638,18,0.047,0.427,0.112,0.0,0,0.633
The 502s,The 502s,05di8bjoVOHSD99EQzVKOX,Everything's Changing,spotify:track:05di8bjoVOHSD99EQzVKOX,0.286,0.396,"",0.0535,0.374,0.217,7.7E-5,1,0.639
A LA SALA,Khruangbin,2qex2CuiMVcmtYFTzaiq8z,Les Petits Gris,spotify:track:2qex2CuiMVcmtYFTzaiq8z,0.972,0.437,59,0.0309,0.241,0.124,0.925,0,0.02
Fireworks & Rollerblades,Benson Boone,315aBOUD3xtj7sUMXtRgMV,In The Stars,spotify:track:315aBOUD3xtj7sUMXtRgMV,0.338,0.362,70,0.0528,0.3,0.139,0.0,1,0.54
un mechón de pelo,TINI,3eNenN5eoBwMRNPkmoyk81,buenos aires,spotify:track:3eNenN5eoBwMRNPkmoyk81,0.104,0.643,"",0.027,0.659,0.243,0.0,1,0.787
You Promised A Lifetime,Myles Smith,4ilUlZEEDIoQEHNQCyufL0,Sweet Love,spotify:track:4ilUlZEEDIoQEHNQCyufL0,0.478,0.729,67,0.0285,0.833,0.402,0.0,1,0.571
Scarlet 2 CLAUDE,Doja Cat,0r9slPSMo13LLZer5Zj4Fi,WYM Freestyle,spotify:track:0r9slPSMo13LLZer5Zj4Fi,0.00449,0.895,51,0.273,0.375,0.119,0.00733,1,0.486
att.,Young Miko,1OPvJd8Zss7gvfpANQ1LE0,princess peach,spotify:track:1OPvJd8Zss7gvfpANQ1LE0,0.357,0.901,69,0.144,0.332,0.108,0.0,1,0.359
Ehhthang Ehhthang,GloRilla,6IXjdjcau3mJ1MMX3mTKCw,High AF,spotify:track:6IXjdjcau3mJ1MMX3mTKCw,0.0155,0.835,59,0.269,0.645,0.0575,2.13E-4,1,0.869
All I Ever Want Is Everything,Blu DeTiger,0ddDRUzEM5HJQGCusLSOq8,Expensive Money,spotify:track:0ddDRUzEM5HJQGCusLSOq8,0.0477,0.774,36,0.046,0.88,0.312,0.00249,0,0.786
COWBOY CARTER,Beyoncé,4dsdSwSdBWjlsVzU6iJs3b,PROTECTOR,spotify:track:4dsdSwSdBWjlsVzU6iJs3b,0.861,0.377,81,0.0525,0.574,0.318,0.0,1,0.33
Sweet Boy,Malcolm Todd,4CL6fIvrJwD7XQP0QWyfd3,Rodrick Rules,spotify:track:4CL6fIvrJwD7XQP0QWyfd3,0.223,0.847,41,0.0322,0.878,0.231,0.0012,1,0.684
Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75,Espresso,spotify:track:2qSkIjg1o9h3YT9RAgYN75,0.133,0.701,"",0.0293,0.661,0.197,1.17E-5,1,0.771
"Cowboy In A Escalade (Spotify OUTSIDE Version) [Live From West Columbia, TX]",That Mexican OT,1w35Va648auSiXaTgimWj0,"Cowboy In An Escalade (Spotify OUTSIDE Version) - Live From West Columbia, TX",spotify:track:1w35Va648auSiXaTgimWj0,0.38,0.641,55,0.0588,0.617,0.171,0.0,0,0.47
Townie,X Ambassadors,7vY8U53Pns5YrJImjIGXR4,(first dam),spotify:track:7vY8U53Pns5YrJImjIGXR4,0.9,0.381,40,0.0465,0.174,0.117,5.05E-4,1,0.0547
"NASHVILLE, TENNESSEE",ERNEST,3FULZo3F26XP00rsLrXTLE,I Went To College / I Went To Jail (feat. Jelly Roll),spotify:track:3FULZo3F26XP00rsLrXTLE,0.0178,0.216,"",0.0351,0.463,0.143,9.79E-6,1,0.711
All I Ever Want Is Everything,Blu DeTiger,0nxPeolI7FlljJ3SnNYDmj,Disappearing (feat. Magdalena Bay),spotify:track:0nxPeolI7FlljJ3SnNYDmj,0.172,0.777,52,0.105,0.436,0.142,0.0786,1,0.673
Scarlet 2 CLAUDE,Doja Cat,29pWNRvG3sugJEr05GgqlQ,HEADHIGH,spotify:track:29pWNRvG3sugJEr05GgqlQ,0.141,0.735,65,0.0369,0.908,0.0981,0.131,0,0.593
att.,Young Miko,5VXYli2kYvZ4RbKi1Udgpc,pinot grigio,spotify:track:5VXYli2kYvZ4RbKi1Udgpc,0.232,0.812,60,0.0709,0.683,0.569,0.0,0,0.556
att.,Young Miko,1B8uMhrUxS7QC2PI9uTgVj,oye ma’,spotify:track:1B8uMhrUxS7QC2PI9uTgVj,0.0311,0.948,61,0.169,0.355,0.114,0.0,1,0.577
Silence Is Loud,Nia Archives,6NBryyJevSG0LAYrxfDCNW,Silence Is Loud (Reprise),spotify:track:6NBryyJevSG0LAYrxfDCNW,0.864,0.328,"",0.0372,0.14,0.592,0.0022,0,0.317
"NASHVILLE, TENNESSEE",ERNEST,5wnEAheGP0vAaYtGs2GAxG,Honkytonk Fairytale,spotify:track:5wnEAheGP0vAaYtGs2GAxG,0.259,0.54,"",0.0278,0.617,0.204,4.3E-5,1,0.644
genre : sadboy,mgk,0hzOn1LI3q2cmXVT6KBogz,time travel,spotify:track:0hzOn1LI3q2cmXVT6KBogz,0.809,0.642,69,0.0497,0.121,0.132,0.0,0,0.479
COWBOY CARTER,Beyoncé,3B7EZgquNKHrSIo2tEc8mK,FLAMENCO,spotify:track:3B7EZgquNKHrSIo2tEc8mK,0.764,0.497,80,0.0274,0.492,0.136,1.5E-6,0,0.351
11:11 (Deluxe),Chris Brown,469pIfZRsMlVamAxYhpm8k,Bouncing / G5,spotify:track:469pIfZRsMlVamAxYhpm8k,0.191,0.423,19,0.18,0.165,0.122,0.0,0,0.567
The 502s,The 502s,3FLwV0IrH5PsMB1LW4HHAC,"hey, honey",spotify:track:3FLwV0IrH5PsMB1LW4HHAC,0.0813,0.643,"",0.0307,0.708,0.228,0.0,1,0.849
The 502s,The 502s,23ypkqV1uZaw7ZED8hFXx0,Road Trips,spotify:track:23ypkqV1uZaw7ZED8hFXx0,0.288,0.745,"",0.0439,0.949,0.103,7.58E-5,1,0.866
Through the Smoke,Nate Smith,4bjec7Fo1bmV4svzKEtXAo,Make It With You (feat. The War And Treaty),spotify:track:4bjec7Fo1bmV4svzKEtXAo,0.00858,0.452,52,0.0468,0.389,0.0798,0.0,1,0.797
Papercuts,Linkin Park,4XyH7K2OWCkpABzPU18B2B,QWERTY,spotify:track:4XyH7K2OWCkpABzPU18B2B,2.59E-4,0.561,"",0.0449,0.461,0.139,2.11E-4,0,0.855
"NASHVILLE, TENNESSEE",ERNEST,0RNSabq5rdLoXc2Gjwjk1f,Would If I Could (feat. Lainey Wilson),spotify:track:0RNSabq5rdLoXc2Gjwjk1f,0.248,0.601,"",0.0255,0.313,0.134,1.33E-4,1,0.475
Eyes Closed,Imagine Dragons,4o120XeV8els1S5bu7mzBX,Eyes Closed,spotify:track:4o120XeV8els1S5bu7mzBX,0.0323,0.622,79,0.114,0.512,0.0732,0.0014,0,0.684
garage sale,BETWEEN FRIENDS,3hwEI79hpaQHY9l8X41PJW,Pleasure delayer,spotify:track:3hwEI79hpaQHY9l8X41PJW,0.496,0.378,"",0.0335,0.423,0.121,0.00522,1,0.5
Strong,Tyler Hubbard,1cBxFOzElresWjq5wL43n3,Night Like That,spotify:track:1cBxFOzElresWjq5wL43n3,1.75E-4,0.628,"",0.0399,0.661,0.159,0.0,1,0.879
Gamma,Gesaffelstein,0jBWDj9eEl0lOAXlhFlX7w,Hysteria,spotify:track:0jBWDj9eEl0lOAXlhFlX7w,0.151,0.404,49,0.0789,0.426,0.173,0.0572,1,0.987
COWBOY CARTER,Beyoncé,5mUlozUYpdmXVPkj4BW8cA,TYRANT,spotify:track:5mUlozUYpdmXVPkj4BW8cA,0.083,0.751,81,0.183,0.813,0.585,0.0,1,0.648
Stuck,Scene Queen,30OKBS1cvHDn59G9ys2wUe,MILF,spotify:track:30OKBS1cvHDn59G9ys2wUe,0.0218,0.655,8,0.0333,0.499,0.175,0.0139,1,0.626
Only God Was Above Us,Vampire Weekend,0tPOlAEXHaXXIJGNR9Ljiy,The Surfer,spotify:track:0tPOlAEXHaXXIJGNR9Ljiy,0.198,0.545,62,0.0319,0.366,0.0879,0.619,1,0.52
Older,Lizzy McAlpine,6rEcXviYlZCEx01m1z7qZv,Come Down Soon,spotify:track:6rEcXviYlZCEx01m1z7qZv,0.607,0.596,65,0.0335,0.322,0.148,3.85E-5,0,0.426
Older,Lizzy McAlpine,46kXlOq68HXFrhkxGV6qtI,All Falls Down,spotify:track:46kXlOq68HXFrhkxGV6qtI,0.41,0.691,64,0.0365,0.646,0.0942,8.45E-4,1,0.583
Ehhthang Ehhthang,GloRilla,7mOC6phfrfz3jfigg1aGsE,Wanna Be (with Megan Thee Stallion),spotify:track:7mOC6phfrfz3jfigg1aGsE,0.0222,0.918,73,0.355,0.37,0.135,0.0,1,0.616
Mood Swings,Marcus King,7IQy2DermNpst7GLwFFYl7,Soul It Screams,spotify:track:7IQy2DermNpst7GLwFFYl7,0.534,0.633,45,0.049,0.447,0.173,1.36E-6,0,0.362
Strong,Tyler Hubbard,4AButWKnWkGXovvPb3spi9,Vegas,spotify:track:4AButWKnWkGXovvPb3spi9,0.0197,0.603,"",0.0584,0.531,0.124,0.0,0,0.831
Scarlet 2 CLAUDE,Doja Cat,6qtDgMQIKALZDzhyezjuk0,Gun,spotify:track:6qtDgMQIKALZDzhyezjuk0,0.0695,0.885,55,0.238,0.805,0.0993,2.35E-4,0,0.576
Strong,Tyler Hubbard,119cU5gffLzRlsEGSshPNQ,Park,spotify:track:119cU5gffLzRlsEGSshPNQ,0.00216,0.602,"",0.0409,0.609,0.18,0.0,1,0.89
Might Delete Later,J. Cole,2w5BtuWXISpB6NM4xPoeiR,"Pricey (feat. Ari Lennox, Young Dro & Gucci Mane)",spotify:track:2w5BtuWXISpB6NM4xPoeiR,0.158,0.657,79,0.344,0.31,0.715,0.0,1,0.718
dos,Camilo,5CczQPzgCKm8pmQ7ztRWUS,En Tus Sueños o En Los Míos,spotify:track:5CczQPzgCKm8pmQ7ztRWUS,0.71,0.66,57,0.0386,0.964,0.0703,0.0,1,0.469
Bryson Tiller,Bryson Tiller,49zOWtA3OAMtUDI1V1CIwe,ÆON L U S T,spotify:track:49zOWtA3OAMtUDI1V1CIwe,0.0109,0.699,61,0.157,0.252,0.0891,0.0,1,0.651
Found Heaven,Conan Gray,1sTUyx1NWS3eAjnlUF7EXW,The Final Fight,spotify:track:1sTUyx1NWS3eAjnlUF7EXW,0.0181,0.531,65,0.0395,0.327,0.103,0.0,1,0.642
Bryson Tiller,Bryson Tiller,1Sx5FQ2YCfSamun0xtUr9c,Waterfalls,spotify:track:1Sx5FQ2YCfSamun0xtUr9c,0.63,0.642,61,0.525,0.652,0.0639,1.33E-5,1,0.63
Pigeons & Planes presents: See You Next Year 2,Love Spells,0lrz54eenDNd78fSHJfO2y,Dope Sick,spotify:track:0lrz54eenDNd78fSHJfO2y,0.531,0.755,36,0.039,0.442,0.112,0.284,1,0.407
Mood Swings,Marcus King,4cCja4eP2SuiouFLBZy6Ey,Hero,spotify:track:4cCja4eP2SuiouFLBZy6Ey,0.23,0.74,45,0.0394,0.739,0.168,2.73E-5,1,0.602
USB,Fred again..,2sMzNgi3wblmxw8ez4GN9G,Baby again..,spotify:track:2sMzNgi3wblmxw8ez4GN9G,0.00355,0.847,54,0.047,0.326,0.0731,0.00339,1,0.724
Scarlet 2 CLAUDE,Doja Cat,5hiWyJgucAjs7Zo6XWMuN5,Skull And Bones,spotify:track:5hiWyJgucAjs7Zo6XWMuN5,0.106,0.632,52,0.0987,0.501,0.143,5.09E-5,0,0.706
Gamma,Gesaffelstein,7bEXrM25AzYRw066UIeMsn,Your Share Of The Night,spotify:track:7bEXrM25AzYRw066UIeMsn,0.0541,0.661,50,0.0323,0.965,0.0592,0.915,1,0.858
genre : sadboy,mgk,5CI0SmPVueBB9VpDEcF8wY,summer's gone,spotify:track:5CI0SmPVueBB9VpDEcF8wY,0.942,0.285,66,0.0414,0.311,0.118,1.75E-6,0,0.48
COWBOY CARTER,Beyoncé,0hWCzWl04zT7P6vMy63XCN,DAUGHTER,spotify:track:0hWCzWl04zT7P6vMy63XCN,0.789,0.374,83,0.0364,0.386,0.118,0.0,0,0.448
Silence Is Loud,Nia Archives,1ygHZpILmwL7EaByT1SVAO,Out Of Options,spotify:track:1ygHZpILmwL7EaByT1SVAO,0.00544,0.535,"",0.0377,0.114,0.189,0.159,1,0.773
Silence Is Loud,Nia Archives,4X1baCCS3Po0cKiIxyH2K7,Killjoy !,spotify:track:4X1baCCS3Po0cKiIxyH2K7,0.0354,0.501,"",0.0899,0.196,0.191,0.486,1,0.75
The 502s,The 502s,4Q0ufr5DaYlotg3jFxpaj0,Perfect Portrait of Young Love,spotify:track:4Q0ufr5DaYlotg3jFxpaj0,0.0277,0.612,"",0.0368,0.776,0.138,8.24E-5,1,0.924
Ohio Players,The Black Keys,7aQx06Jx3iA9pRdixCUADJ,This Is Nowhere,spotify:track:7aQx06Jx3iA9pRdixCUADJ,0.00146,0.596,61,0.0263,0.548,0.151,1.44E-4,1,0.831
Club classics / B2b,Charli XCX,7BoOmRrtNCbIT9yQ4xidk5,Club classics,spotify:track:7BoOmRrtNCbIT9yQ4xidk5,0.125,0.704,70,0.191,0.712,0.167,4.4E-5,1,0.868
Way Out Here,Riley Green,1q1FoLWLZXdKmJfIBlYMKl,Pick A Place,spotify:track:1q1FoLWLZXdKmJfIBlYMKl,0.709,0.644,"",0.0335,0.57,0.0903,9.69E-4,1,0.361
Next Semester,Twenty One Pilots,4PCD9jZRM2VswisaTBhc25,Next Semester,spotify:track:4PCD9jZRM2VswisaTBhc25,0.0225,0.234,78,0.135,0.127,0.11,1.7E-5,1,0.823
Papercuts,Linkin Park,18llzBTyyebt777IfSqoqA,Papercut,spotify:track:18llzBTyyebt777IfSqoqA,7.59E-5,0.51,"",0.102,0.711,0.641,0.0,1,0.879
Pigeons & Planes presents: See You Next Year 2,See You Next Year,1j1wx1r61hiuof5unfE08E,Gap Tooth,spotify:track:1j1wx1r61hiuof5unfE08E,0.392,0.519,32,0.0469,0.52,0.152,0.0148,1,0.593
11:11 (Deluxe),Chris Brown,7zqY5X6cDh8h1rJEdBykhv,Sweet Lullaby,spotify:track:7zqY5X6cDh8h1rJEdBykhv,0.0376,0.55,29,0.0413,0.361,0.106,3.32E-5,0,0.51
un mechón de pelo,TINI,29T9nUwWSdlipEnNgmcVFF,miedo,spotify:track:29T9nUwWSdlipEnNgmcVFF,0.496,0.209,"",0.0815,0.084,0.3,0.0,0,0.52
I Forgive You,Sia,5ytXEc1V6ZdSpFNsg81X8O,I Forgive You,spotify:track:5ytXEc1V6ZdSpFNsg81X8O,0.556,0.215,"",0.0394,0.0712,0.105,0.0,0,0.383
"NASHVILLE, TENNESSEE",ERNEST,3fDDBJU3EIDS9J7Ikiysa6,Bars On My Heart,spotify:track:3fDDBJU3EIDS9J7Ikiysa6,0.128,0.498,"",0.026,0.351,0.0974,2.86E-6,1,0.566
