album_name,artists,name,popularity,release_date,track_duration,track_id
WE STILL DON'T TRUST YOU,Future,Always Be My Fault,71,2024-04-12,246666,1FIwzmULOKGNmo5bOJqW0P
Endiamantado / Entre las de 20,Bizarrap,Entre las de 20,82,2024-04-03,168511,3184c0tjCakg9oaNZYJODD
COWBOY CARTER,Beyoncé,SPAGHETTII,83,2024-03-29,158477,5UcUppRaEIBMIHXiUFl7LI
Might Delete Later,J. Cole,Trae The Truth in Ibiza,76,2024-04-05,255440,4E2fOeF5A6onC10OtnjXJa
I'M DOING IT AGAIN BABY!,girl in red,Too Much,61,2024-04-12,183473,49oNAMh9RBScs4HXZJgvgl
Mood Swings,Marcus King,F*ck My Life Up Again,50,2024-04-05,258626,0Jw0GvrJl8QIvY28wjAkdY
MANIFESTING 20-05,Feid,No Digas Na,73,2024-04-10,208386,2iPoYcC5x7gylwRyCwzFxI
Bad For Me,Chayce Beckham,Bad For Me,41,2024-04-05,204720,0c7fhqwyv9bvdOhHBSkQib
Ehhthang Ehhthang,GloRilla,Finesse Da Glo (feat. Finesse2Tymes),63,2024-04-05,142702,1nKgk560ybSt7eZLtFAa9p
un mechón de pelo,TINI,bien,64,2024-04-11,172909,7iqWxH5QBMBKOPV8PzU482
Older,Lizzy McAlpine,Vortex,65,2024-04-05,343360,7ySoma7tOtUTPSELihpcko
Older,Lizzy McAlpine,Staying,65,2024-04-05,151653,3tcCT8WhAIeRW2Ey9M4bL5
Strong,Tyler Hubbard,Strong,38,2024-04-12,176426,2OSQ9bmwVST63xuoqZfpbr
WE STILL DON'T TRUST YOU,Future,Drink N Dance,76,2024-04-12,220626,0SdpzQRdK8BdSV57rn6AZZ
I'M DOING IT AGAIN BABY!,girl in red,DOING IT AGAIN BABY,58,2024-04-12,145272,6LK3rmeoEfVYtH8B6qbwZg
NASHVILLE TENNESSEE,ERNEST,Never Said I Love You,46,2024-04-12,254662,3TNVeSrxyXQoHmwmjYefRz
Fireworks & Rollerblades,Benson Boone,Hello Love,69,2024-04-05,208420,6VyWsk3qiz8NmHUEyVobQb
Through the Smoke,Nate Smith,Here's To Hometowns,54,2024-04-05,221423,2N9Z9TGnBeOYrjtyc9oJAF
Bad For Me,Chayce Beckham,Drink You Off My Mind,41,2024-04-05,211995,4QLQakIfGYdSBtkTKMYZmu
Forever To Me,Cole Swindell,3 Feet Tall,43,2024-04-12,222906,2j3HIMVaepfCQtS6EE7NV5
Mood Swings,Marcus King,Me Or Tennessee,44,2024-04-05,262280,3kradCzPXgyS4BuZGgrGuH
COWBOY CARTER,Beyoncé,DAUGHTER,83,2024-03-29,203851,0hWCzWl04zT7P6vMy63XCN
WE STILL DON'T TRUST YOU,Future,Beat It,73,2024-04-12,218213,7lsepdNR69a3PS9pWMNICd
Silence Is Loud,Nia Archives,Tell Me What It’s Like?,43,2024-04-12,190298,5UMyFKs2A333NMYD6sdIc0
Fireworks & Rollerblades,Benson Boone,Ghost Town,71,2024-04-05,193733,6HuHyXviAdpmnQu73JHfBz
I'M DOING IT AGAIN BABY!,girl in red,I'm Back,65,2024-04-12,179791,0tduSYti0mY7p8j5AIO4Pg
COWBOY CARTER,Beyoncé,ALLIIGATOR TEARS,81,2024-03-29,179397,1LSWDkZxVngIpfjvMs6Q56
11:11 (Deluxe),Chris Brown,Feel Something,56,2024-04-11,192040,4kA2KmEZg6FudWdWQvkfow
Bryson Tiller,Bryson Tiller,Attention,71,2024-04-05,216043,7tr8SXmP9j0uVqUU0qoapb
CHILDREN OF THE SLUMS,Mozzy,FREE JUJU,0,2024-04-19,129649,1YgEF8icczgBJ99MB1PriB
11:11 (Deluxe),Chris Brown,Press Me,56,2024-04-11,127615,0K9zaYfKzNfNCkEHgggb5r
Strong,Tyler Hubbard,Wish You Would,41,2024-04-12,186417,4UdvVA89evbBrj6hnDa5oM
COWBOY CARTER,Beyoncé,FLAMENCO,80,2024-03-29,100364,3B7EZgquNKHrSIo2tEc8mK
Fireworks & Rollerblades,Benson Boone,In The Stars,74,2024-04-05,216410,315aBOUD3xtj7sUMXtRgMV
Don't Forget Me,Maggie Rogers,All The Same,61,2024-04-12,227440,5n2G96C5E69C2ciGwZkoFZ
Don't Forget Me,Maggie Rogers,The Kill,67,2024-04-12,251600,06qDEAG26TspT2yK2NLgEZ
Older,Lizzy McAlpine,Better Than This,63,2024-04-05,214546,7vuTIC1zVc3i5VffKd2cHq
Mood Swings,Marcus King,Hero,47,2024-04-05,196066,4cCja4eP2SuiouFLBZy6Ey
CHILDREN OF THE SLUMS,Mozzy,JADED (feat Eric Bellinger),0,2024-04-19,192104,0ZmigSNO90ZnzLwZSDuXJ9
The Mountain Is You,Chance Peña,The Mountain Is You,63,2024-04-12,196210,6IiAEnXYsSD5De5M502OBa
Ehhthang Ehhthang,GloRilla,All Dere (feat. Moneybagg Yo),69,2024-04-05,176551,0KLbL3svWeZyhE02nSW8QG
USB,Fred again..,stayinit,64,2024-04-09,274925,4sHXKCcNR8CSifCNUhYwuW
It Is What It Is,Rachel Chinouriri,It Is What It Is,0,2024-04-19,179666,7rYAJwAZ7gokGokrsfrOQ5
CHILDREN OF THE SLUMS,Mozzy,BETTER WITHOUT YOU,0,2024-04-19,155319,1vz0heUW7z7snnLu2vmPoI
I'M DOING IT AGAIN BABY!,girl in red,Pick Me,57,2024-04-12,182913,5ZNxEg7CJo2zSdOXLrv1kW
MANIFESTING 20-05,Feid,De Negro,68,2024-04-10,214253,4vAAGNZAjmCUc51qjhFZdM
Your Day Will Come,Chanel Beads,Idea June,0,2024-04-19,90133,1NqqTOnwFzODsJECdvTE2S
Ehhthang Ehhthang,GloRilla,Yeah Glo!,71,2024-04-05,142702,5A8xI7PN4WDe9e61xEdt94
11:11 (Deluxe),Chris Brown,No Interruptions,64,2024-04-11,159888,6DaUoalUi6GAQTLaWmNcF0
Strong,Tyler Hubbard,Summer Talkin',39,2024-04-12,220897,5MPhFys3qJb0eKhNFjylS6
Espresso,Sabrina Carpenter,Espresso,84,2024-04-12,175459,2qSkIjg1o9h3YT9RAgYN75
Scarlet 2 CLAUDE,Doja Cat,Gun,57,2024-04-05,176840,6qtDgMQIKALZDzhyezjuk0
I'M DOING IT AGAIN BABY!,girl in red,You Need Me Now? (feat. Sabrina Carpenter),59,2024-04-12,186377,34qaGPDvfWqp3F4iD5nGhf
NASHVILLE TENNESSEE,ERNEST,Twinkle Twinkle (Live at Fenway Park) [feat. Ryman Saint],42,2024-04-12,86057,3v3ZK9LevV1yce8DBVPF0L
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,82,2024-04-05,149667,331l3xABO0HMr1Kkyh2LZq
WE STILL DON'T TRUST YOU,Future,One Big Family,71,2024-04-12,245653,40vqMm30NcrokceG9auURz
L o s e M y M i n d,PARTYNEXTDOOR,L o s e M y M i n d,71,2024-04-11,183990,7nnSTOoBWl2ctLxoqgCZoq
Don't Forget Me,Maggie Rogers,Don't Forget Me,60,2024-04-12,265360,5tlXwZ4m7dbRZyG4natJZ1
NASHVILLE TENNESSEE,ERNEST,How'd We Get Here,46,2024-04-12,245498,0yiKkxNDYiNq1FObXS70s7
MANIFESTING 20-05,Feid,Brickell,74,2024-04-10,180360,0rNqDh9zWWJVTLS4VfceHP
COWBOY CARTER,Beyoncé,TEXAS HOLD 'EM,87,2024-03-29,233456,7wLShogStyDeZvL0a6daN5
Reptilia,Ricky Montgomery,It's Ok to Cry,0,2024-04-19,161726,0O7x5qu1JsiLBDplG0RGLE
Papercuts,Linkin Park,BURN IT DOWN,56,2024-04-12,230258,6BvvBikUMSszvczjfRN3WJ
Older,Lizzy McAlpine,Older,64,2024-04-05,201186,059gVW493dUeBHkn0gE1zm
Incredible (feat. Labrinth),Sia,Incredible (feat. Labrinth),73,2024-04-05,213632,3SOaoZ1AfhMjEMCJrdGKEw
ES SOLO MÚSICA,iñigo quintero,El Equilibrio,0,2024-04-19,240686,24bY517589ZUrpukAKelhL
Don't Forget Me,Maggie Rogers,On & On & On,61,2024-04-12,154200,5UNaXVDqe7AJ8Fxn0sxnsS
11:11 (Deluxe),Chris Brown,Go Girlfriend,67,2024-04-11,175565,7sDsbFNNQmG2UmRjHtO7fW
Mood Swings,Marcus King,Bipolar Love,45,2024-04-05,369746,7pYvlvXuljROQPXMFZwfAk
Mood Swings,Marcus King,Save Me,47,2024-04-05,294360,7wdDFj583srpFCkYxh1vx0
Might Delete Later,J. Cole,Pricey (feat. Ari Lennox Young Dro & Gucci Mane),79,2024-04-05,295146,2w5BtuWXISpB6NM4xPoeiR
11:11 (Deluxe),Chris Brown,Sensational (feat. Davido & Lojay),57,2024-04-11,231109,4JQIGTLXz4oULctglUDpw6
BREAK A NECK,Odetari,BREAK A NECK (w/ Ayesha Erotica),20,2024-04-18,116330,3EB97YJsyxhSyB0Gm7f9u4
I'M DOING IT AGAIN BABY!,girl in red,★★★★★,58,2024-04-12,109919,66ex88O0p8fmw7ShFLlmmC
WE STILL DON'T TRUST YOU,Future,One Big Family,70,2024-04-12,245653,40vqMm30NcrokceG9auURz
NASHVILLE TENNESSEE,ERNEST,If You Don't Know By Now,44,2024-04-12,204214,5PvXlgNpBlymLeIlBQmvXq
I'M DOING IT AGAIN BABY!,girl in red,A Night To Remember,59,2024-04-12,170107,0OAye4UT21h2iC72vGVuqC
Fireworks & Rollerblades,Benson Boone,Slow It Down,82,2024-04-05,161831,51eSHglvG1RJXtL3qI5trr
I'M DOING IT AGAIN BABY!,girl in red,Phantom Pain,60,2024-04-12,171745,2X05EASOuBv6aRQRJoGI1i
Reptilia,Ricky Montgomery,Unknown Phantom,0,2024-04-19,252081,39yGe9fpLcpbrYEQyVD0xf
COWBOY CARTER,Beyoncé,SMOKE HOUR II,56,2024-03-29,29843,5tInFhbFRLTM4rFu6yVSJA
Bryson Tiller,Bryson Tiller,Stay Gold,66,2024-04-05,157161,4bpuF6xenrFjMLA9tfKuc7
Scarlet 2 CLAUDE,Doja Cat,Agora Hills,57,2024-04-05,265360,5chLYJV2XFnrKY5v7uVjra
Ehhthang Ehhthang,GloRilla,Opp Shit,64,2024-04-05,126315,2lynIxLBNW2SrBeDOVpxyB
Nothing To Do,Kings of Leon,Mustang,0,2024-04-19,194731,6MlvxS1k2L7nVSyNajaipT
COWBOY CARTER,Beyoncé,YA YA,83,2024-03-29,274766,0K9tfzrxJyCQIf7oAlPwaK
Live on Mountain Stage: Outlaws & Outliers,Wilco,Space Oddity - Live,0,2024-04-19,273547,0Hg5AbcTABqoNrIqYN5Bwl
WE STILL DON'T TRUST YOU,Future,Nights Like This,73,2024-04-12,232266,6c0rii1TOf2fvq3hhqqExW
WE STILL DON'T TRUST YOU,Future,Overload,70,2024-04-12,224546,2Cl3OfIwpKJFyJIimbGPCx
Only God Was Above Us,Vampire Weekend,The Surfer,65,2024-04-05,347373,0tPOlAEXHaXXIJGNR9Ljiy
Don't Forget Me,Maggie Rogers,Never Going Home,63,2024-04-12,210920,1cDQku650Uev3TnRGdlbE5
CHILDREN OF THE SLUMS,Mozzy,MISS BIG BRUH,0,2024-04-19,144640,5CmE8EfovgLx3L4VJo4Htu
Silence Is Loud,Nia Archives,Killjoy !,40,2024-04-12,127558,4X1baCCS3Po0cKiIxyH2K7
11:11 (Deluxe),Chris Brown,Afterlife,65,2024-04-11,195145,0OBdw1mqH8DuCksmvxIutK
Your Day Will Come,Chanel Beads,Urn,0,2024-04-19,273173,7p3NC6RhQc7qTDrKu9qw8T
Might Delete Later,J. Cole,H.Y.B. (feat. Bas & Central Cee),81,2024-04-05,234586,5RMTsrJkrtumtiIZjy7dL6
Reptilia,Ricky Montgomery,Reptilia,0,2024-04-19,221296,2NeitqclMuX4Xyj1M1mmTp
Might Delete Later,J. Cole,Pi (feat. Daylyt & Ab-Soul),76,2024-04-05,354773,0NXRZaUn11do0EzDFlXkbj
Silence Is Loud,Nia Archives,Silence Is Loud (Reprise),40,2024-04-12,148418,6NBryyJevSG0LAYrxfDCNW
FINAL (Vol.2),Enrique Iglesias,La Botella,68,2024-03-29,186366,5zkZazxkRze7ub2fT8Xv8u
Older,Lizzy McAlpine,Movie Star,64,2024-04-05,92040,6aRmjhWmg9pAioffjegxtp
Scarlet 2 CLAUDE,Doja Cat,97,57,2024-04-05,177666,377fhXGnBhq50LQWzUUZW3
WE STILL DON'T TRUST YOU,Future,Red Leather,77,2024-04-12,414893,4Dx4e0X5dR6TW85dtFU42x
FINAL (Vol.2),Enrique Iglesias,Space in My Heart,51,2024-03-29,178849,140VTZ2BNpnR5sLbSpw5Dh
It Is What It Is,Rachel Chinouriri,It Is What It Is - Instrumental,0,2024-04-19,179666,7vWWpiPOXvkDNOSoW7pxBY
11:11 (Deluxe),Chris Brown,No One Else (feat. Fridayy),55,2024-04-11,223480,2wtgjnAjszqj26XZv2rcN9
L o s e M y M i n d,PARTYNEXTDOOR,H e r O l d F r i e n d s,63,2024-04-11,256117,5W3chbCpb4D26ugjRHQW28
Bad For Me,Chayce Beckham,Smokin' Weed And Drinkin' Whiskey,37,2024-04-05,155026,6AfHka0f7OmI8qMDqNrElk
Don't Forget Me,Maggie Rogers,So Sick Of Dreaming,63,2024-04-12,232080,2VWU98gL9ePoBWzjttq3iC
Fireworks & Rollerblades,Benson Boone,Be Someone,73,2024-04-05,224862,1j2iMeSWdsEP5ITCrZqbIL
Don't Forget Me,Maggie Rogers,If Now Was Then,62,2024-04-12,184080,4FQiOvG6qN55tdzvu37uUN
NASHVILLE TENNESSEE,ERNEST,Redneck Sh*ttt,44,2024-04-12,183823,5zCssJnwzzNhpwgmr0puEp
MANIFESTING 20-05,Feid,Fecha,77,2024-04-10,188600,14LaTeixKug7O2jNMK8u1C
Ehhthang Ehhthang,GloRilla,In Dat Mode,63,2024-04-05,182400,0SNIukv9BX1Sv9YGpsokgN
A LA SALA,Khruangbin,Todavía Viva,64,2024-04-05,263852,4fG70GdfEBkQhH6VgTzK5r
Don't Forget Me,Maggie Rogers,Drunk,65,2024-04-12,204800,353l8u2CCNBek7Nd3Q3Txa
Scarlet 2 CLAUDE,Doja Cat,Demons,60,2024-04-05,195573,7erff58xm2H5PNy1238M8A
Papercuts,Linkin Park,In the End,59,2024-04-12,216293,3gTSFdfCW0XuYMg7xnh4WZ
COWBOY CARTER,Beyoncé,SMOKE HOUR ★ WILLIE NELSON,80,2024-03-29,50721,2dv2DYn0V0j0Wx6Ra40bce
Ehhthang Ehhthang,GloRilla,Aite (feat. Kevo Muney),63,2024-04-05,241509,6yJbMJVWxeW9oWLM15KLGN
Only God Was Above Us,Vampire Weekend,Gen-X Cops,63,2024-04-05,227506,7EBmnpMsikHSmwOoCnAKrd
Bryson Tiller,Bryson Tiller,Peace Interlude,66,2024-04-05,131819,229q3X3autIWuKpy35auRu
Scarlet 2 CLAUDE,Doja Cat,DISRESPECTFUL,70,2024-04-05,156240,7y73txStcKSdfI7smRFfIE
Live on Mountain Stage: Outlaws & Outliers,Margo Price,Hurtin' (On The Bottle) - Live,0,2024-04-19,250680,1kFzQ8tvGiUeMBHXhoLmX3
Your Day Will Come,Chanel Beads,Unifying Thought,0,2024-04-19,119666,1y5OVG464f99HsWCVeXHtQ
Don't Forget Me,Maggie Rogers,Never Going Home,61,2024-04-12,210920,1cDQku650Uev3TnRGdlbE5
I'M DOING IT AGAIN BABY!,girl in red,Too Much,58,2024-04-12,183473,49oNAMh9RBScs4HXZJgvgl
NASHVILLE TENNESSEE,ERNEST,Kiss Of Death,42,2024-04-12,160138,1nG42AEm0VQrRz0DIK2WBG
Scarlet 2 CLAUDE,Doja Cat,URRRGE!!!!!!!!!! (feat. A$AP Rocky),72,2024-04-05,152653,0mxMMetknt24PVQxAHwXAZ
WE STILL DON'T TRUST YOU,Future,This Sunday,75,2024-04-12,198946,5pF8pF6U8ZDGTQmTY71hYn
Lejos de Ti,The Marías,Lejos de Ti,65,2024-04-05,179520,4ZKpTM2wfcj4Mg3vRHH66m
favorite,Isabel LaRosa,favorite sped up,68,2024-03-29,122576,0H2hzCPL66lueCl5n9qpob
un mechón de pelo,TINI,ángel,69,2024-04-11,226800,10VrAhS6QQKA2mdf2NpreW
CHILDREN OF THE SLUMS,Mozzy,TRAUMATIZED,0,2024-04-19,160120,6TJmcXOgerGIt0ESE6tM2p
COWBOY CARTER,Beyoncé,PROTECTOR,81,2024-03-29,184399,4dsdSwSdBWjlsVzU6iJs3b
BREAK A NECK,Odetari,DICE AND ROLL,16,2024-04-18,120165,4ZYPwYyWAPpA65uzTNHljW
Might Delete Later,J. Cole,Crocodile Tearz,82,2024-04-05,229186,1yfKakY4rvI17lk20ekuRA
Might Delete Later,J. Cole,Stickz N Stonez,77,2024-04-05,200786,1tTKy8pW1dMaXJm7bYrSzA
Older,Lizzy McAlpine,Like It Tends To Do,65,2024-04-05,205960,0UmNhsqUlGWs9h44hIQNAm
Through the Smoke,Nate Smith,Bulletproof,57,2024-04-05,183919,6rVuwfysYo1Bp4Hoc4YuE0
Bryson Tiller,Bryson Tiller,Rich Boy,65,2024-04-05,141827,6TJcnosIlDjN5RBdkCphXJ
overseas,Ken Carson,overseas,77,2024-04-12,141031,7ovB5FvDwq1g7AG9ICYaNY
I'M DOING IT AGAIN BABY!,girl in red,You Need Me Now? (feat. Sabrina Carpenter),62,2024-04-12,186377,34qaGPDvfWqp3F4iD5nGhf
Live on Mountain Stage: Outlaws & Outliers,Molly Tuttle,You Didn't Call My Name - Live,0,2024-04-19,247493,2JqL3oEsSoa7qegKLdtmJE
CHILDREN OF THE SLUMS,Mozzy,I CAN’T GO OUT (feat. Afira),0,2024-04-19,177332,16bjWKVGfmeMMHICd1E47W
It Is What It Is,Rachel Chinouriri,It Is What It Is - Acapella,0,2024-04-19,155950,3ItRCYC4CfKbfLPekrXXSw
Don't Forget Me,Maggie Rogers,It Was Coming All Along,65,2024-04-12,207280,2SSdjwuUQlkO0s6Kb4II8x
COWBOY CARTER,Beyoncé,THE LINDA MARTELL SHOW,48,2024-03-29,28069,3wcZlxfu4i6TROB5YV83wh
b i g f e e l i n g s,WILLOW,b i g f e e l i n g s,61,2024-04-11,264133,0Xfkeu82ju4uni0CH2z9XN
MANIFESTING 20-05,Feid,Pa Janguiar,68,2024-04-10,225786,6M3Wbw9M57Kaw2wXSMyjyf
Silence Is Loud,Nia Archives,Crowded Roomz,44,2024-04-12,172389,0JH3rxj9e7cY8T1QFgr5mQ
Fireworks & Rollerblades,Benson Boone,Intro,71,2024-04-05,62287,4ZuIZH78dteLeq4KAApART
Don't Forget Me,Maggie Rogers,All The Same,60,2024-04-12,227440,5n2G96C5E69C2ciGwZkoFZ
11:11 (Deluxe),Chris Brown,Sweet Lullaby,61,2024-04-11,223938,7zqY5X6cDh8h1rJEdBykhv
Bryson Tiller,Bryson Tiller,Random Access Memory [RAM] (feat. Clara La San),67,2024-04-05,144112,6R55Qoa7SRZ744U85UdMVp
WE STILL DON'T TRUST YOU,Future,We Still Don't Trust You,82,2024-04-12,252920,7sVbKoBdhXtYCEOO6qC1SN
WE STILL DON'T TRUST YOU,Future,Nights Like This,75,2024-04-12,232266,6c0rii1TOf2fvq3hhqqExW
Your Day Will Come,Chanel Beads,I Think I Saw,0,2024-04-19,191000,434UF0xWmXsmzrKtU9SJf4
NASHVILLE TENNESSEE,ERNEST,Small Town Goes,44,2024-04-12,179883,0lAbpcF5UWZOGfXOV0MZDD
Illusion,Dua Lipa,Illusion - Instrumental,63,2024-04-11,187022,6qszJ4PtfQSe9Fs3A0zIIi
Mood Swings,Marcus King,Mood Swings,50,2024-04-05,205026,3j3AQiQEe24de1EcYqVxc3
